Sequence_ID	Category_1
OGP55816 [Deltaproteobacteria bacterium RBG_13_52_11]	group6
WP_129470301 [Pseudoxanthomonas sp. GSS15]	group1
PYS81770 [Acidobacteria bacterium]	group4
PDH33383 [Halieaceae bacterium MED-G27]	group6
OGB24960 [Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36]	group4
PYS89522 [Acidobacteria bacterium]	group5
WP_018574406 [Oligella ureolytica]	group5
PZU16373 [Citromicrobium sp.]	group6
PPR55253 [Alphaproteobacteria bacterium MarineAlpha5_Bin3]	group4
WP_123633314 [Marinobacter sp. R17]	group4
PYK72998 [Verrucomicrobia bacterium]	group2
TAM04016 [Paraburkholderia sp.]	group7
CDE64100 [Parabacteroides sp. CAG:409]	group6
WP_069039133 [Methyloversatilis sp. RAC08]	group6
XP_020189664 [Aegilops tauschii subsp. tauschii]	group7
SFP58449 [Nitrosomonas cryotolerans ATCC 49181]	group6
PDH46468 [Bacteroidetes bacterium MED-G13]	group2
WP_077026685 [Fuerstia marisgermanicae]	group4
RMF08618 [Alphaproteobacteria bacterium]	group6
WP_091639692 [Aquisalimonas asiatica]	group1
KVH92261 [Cynara cardunculus var. scolymus]	group5
OUW10889 [Candidatus Pelagibacter sp. TMED166]	group5
PYT98900 [Acidobacteria bacterium]	group3
TAN09068 [Rhodanobacteraceae bacterium]	group3
TAK39951 [Xanthomonadaceae bacterium]	group5
PIE84048 [Bacteroidia bacterium]	group4
CBX28973 [uncultured Desulfobacterium sp.]	group6
WP_107960903 [Neisseria cinerea]	group2
WP_005646425 [Parabacteroides merdae]	group7
WP_112291144 [Rahnella sp. AN3-3W3]	group6
WP_113905792 [Aliidiomarina sp. F3105]	group3
WP_115858144 [Lysobacter sp. zong2l5]	group2
PHS66547 [Thalassobium sp.]	group1
WP_057157507 [Massilia sp. Root351]	group6
WP_078239498 [Haemophilus]	group5
WP_078487226 [Solemya velesiana gill symbiont]	group7
PPR35140 [Alphaproteobacteria bacterium MarineAlpha9_Bin6]	group5
OLB24076 [Acidobacteriales bacterium 13_2_20CM_55_8]	group7
WP_110253757 [Undibacterium pigrum]	group1
WP_104228923 [Solimonas fluminis]	group1
WP_123290298 [Desulfosoma caldarium]	group4
KXK30111 [Candidatus Brocadia sinica]	group2
WP_106227887 [beta proteobacterium MWH-P2sevCIIIb]	group5
WP_113858602 [Pseudocitrobacter faecalis]	group3
OPY85347 [Smithella sp. PtaU1.Bin162]	group7
WP_057972744 [Lysobacter antibioticus]	group6
WP_066406184 [Flavisolibacter tropicus]	group4
WP_119116033 [Bacillus asahii]	group4
RMF72450 [Alphaproteobacteria bacterium]	group1
PYO97433 [Gemmatimonadetes bacterium]	group2
PMP70589 [Calditerrivibrio nitroreducens]	group4
PKQ01918 [Alphaproteobacteria bacterium HGW-Alphaproteobacteria-12]	group4
WP_018151224 [Leeia oryzae]	group4
WP_089515454 [Polynucleobacter cosmopolitanus]	group3
WP_051246365 [Thermomonas fusca]	group1
TDJ21784 [Deltaproteobacteria bacterium]	group4
WP_031597047 [Ferrovum sp. Z-31]	group7
WP_108037202 [Verrucomicrobia bacterium LW23]	group3
PYV85203 [Acidobacteria bacterium]	group5
OFW65008 [Actinobacteria bacterium RBG_19FT_COMBO_36_27]	group7
WP_011362997 [Chlorobium chlorochromatii CaD3]	group1
WP_092898380 [Rhodobacter sp. 24-YEA-8]	group1
TIO10484 [Mesorhizobium sp.]	group3
WP_010183312 [Sphingomonas sp. PAMC 26605]	group1
PKP71931 [Alphaproteobacteria bacterium HGW-Alphaproteobacteria-5]	group7
WP_074010144 [Duodenibacillus massiliensis]	group5
KLT17437 [Bacillus vireti]	group7
WP_064260397 [Roseovarius indicus]	group2
WP_132545349 [Rhodovulum euryhalinum]	group2
WP_138018547 [Moraxella osloensis]	group5
WP_108902668 [Flavobacterium pallidum]	group6
WP_116013746 [Thalassotalea euphylliae]	group2
WP_002647284 [Gimesia maris DSM 8797]	group3
PIW46949 [Zetaproteobacteria bacterium CG_4_9_14_3_um_filter_54_145]	group5
PZN86496 [Proteobacteria bacterium]	group2
OYY43999 [Gallionellales bacterium 39-52-133]	group7
OYU43324 [Burkholderiales bacterium PBB4]	group4
TNF89000 [Gammaproteobacteria bacterium]	group1
TMH90851 [Betaproteobacteria bacterium]	group3
RLA91703 [Deltaproteobacteria bacterium]	group4
WP_067743628 [Novosphingobium sp. Fuku2-ISO-50]	group7
RKY02263 [Candidatus Poribacteria bacterium]	group2
PRD30068 [Trichonephila clavipes]	group3
RJR18915 [Nitrospiraceae bacterium]	group6
WP_132539005 [Plasticicumulans lactativorans]	group1
PYN12351 [Candidatus Rokubacteria bacterium]	group5
WP_068389976 [Ventosimonas gracilis]	group6
RKZ39083 [Gammaproteobacteria bacterium]	group7
WP_011828256 [Methylibium petroleiphilum PM1]	group7
OUW50936 [bacterium TMED190]	group7
WP_095177096 [Haemophilus pittmaniae]	group5
RWE26734 [Mesorhizobium sp.]	group5
WP_084067113 [Desulfobacterium vacuolatum DSM 3385]	group3
WP_056185361 [Pseudorhodoferax sp. Leaf267]	group3
WP_109425900 [Maritimibacter sp. 55A14]	group2
WP_013707197 [Desulfobacca acetoxidans DSM 11109]	group6
WP_100366612 [Yoonia maricola]	group1
WP_026447389 [Acidobacteriaceae bacterium URHE0068]	group5
WP_092284433 [Pseudomonas sabulinigri]	group7
WP_089287939 [Azospirillum sp. RU37A]	group2
WP_028115161 [Ferrimonas senticii]	group5
WP_138165925 [Methylocystis sp. B8]	group7
OIP85083 [Porphyromonadaceae bacterium CG2_30_38_12]	group7
WP_066743070 [Sphingomonadales bacterium EhC05]	group4
WP_136573657 [Lampropedia puyangensis]	group4
WP_106747721 [Phreatobacter cathodiphilus]	group5
WP_021185596 [Pantoea sp. AS-PWVM4]	group4
WP_071316118 [Anaerobacillus isosaccharinicus]	group4
WP_069313607 [Piscirickettsia litoralis]	group4
RNC91332 [Oricola sp.]	group4
RKZ14898 [bacterium]	group2
PHR63939 [Idiomarina sp.]	group1
PKO26032 [Betaproteobacteria bacterium HGW-Betaproteobacteria-8]	group5
RMG06790 [Acidobacteria bacterium]	group2
WP_132577538 [Pseudofulvimonas gallinarii]	group3
WP_012683189 [Gemmatimonas aurantiaca T-27]	group5
WP_013166147 [Starkeya novella DSM 506]	group7
OHE59832 [Thiobacillus sp. GWE1_62_9]	group5
OEU64328 [Desulfuromonadales bacterium C00003107]	group7
WP_127745329 [Sphingomonas sp. CCP-7]	group6
WP_013536883 [Thermovibrio ammonificans HB-1]	group7
WP_078545349 [Bacillus alkalitelluris]	group6
WP_119052184 [Pseudoflavitalea sp. 5GH32-13]	group4
TDI88389 [Caldithrix sp.]	group5
TAM33901 [Burkholderiaceae bacterium]	group4
KES17263 [Gilliamella apicola SCGC AB-598-B02]	group5
KUP91345 [Tritonibacter horizontis]	group6
OWY70981 [cyanobacterium TDX16]	group5
WP_111445432 [Cytophaga xylanolytica]	group2
RYY01918 [Gammaproteobacteria bacterium]	group7
WP_129508607 [Candidatus Marinimicrobia bacterium]	group2
OLC17771 [Candidatus Rokubacteria bacterium 13_1_20CM_2_70_7]	group2
WP_015597255 [Hyphomicrobium denitrificans 1NES1]	group4
WP_038487388 [Collimonas arenae]	group4
WP_010941589 [Geobacter sulfurreducens]	group4
WP_106637498 [Siphonobacter sp. BAB-5404]	group3
WP_109302259 [Aquimarina sp. AU474]	group7
WP_109384739 [Pelagicola sp. LXJ1103]	group4
WP_108650764 [Gammaproteobacteria bacterium DM2]	group6
KXS49086 [Marinobacter sp. T13-3]	group5
WP_111362131 [Rhodobacteraceae bacterium AsT-22]	group5
RLB28149 [Deltaproteobacteria bacterium]	group3
WP_056464212 [Rhizobacter sp. Root404]	group2
WP_029166012 [Aminiphilus circumscriptus]	group3
OUW24678 [Rickettsiales bacterium TMED174]	group3
WP_056664811 [Rhizobacter sp. Root1221]	group5
WP_045817654 [Cellvibrionaceae bacterium 1162T.S.0a.05]	group5
OGA32361 [Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_64_23]	group2
RLB01460 [Deltaproteobacteria bacterium]	group2
WP_009119779 [Neisseria shayeganii 871]	group1
WP_117155245 [Rhodobacteraceae bacterium 63075]	group3
WP_038271755 [Xylella taiwanensis]	group3
WP_068342793 [Porphyromonadaceae bacterium H1]	group1
WP_142586278 [Methylobacterium sp. SB0023/3]	group6
WP_134700030 [Ammoniphilus sp. YIM 78166]	group6
WP_062503949 [Gluconobacter japonicus]	group3
WP_136851481 [Sinimarinibacterium sp. CAU 1509]	group2
WP_093688370 [Sporolituus thermophilus DSM 23256]	group4
WP_008058683 [Methyloversatilis universalis FAM5]	group7
RDH81855 [endosymbiont of Seepiophila jonesi]	group6
EAR61051 [Neptuniibacter caesariensis]	group3
WP_071058241 [Pelistega sp. MC2]	group2
WP_105051555 [Psychrosphaera saromensis]	group1
SPH21119 [Ascidiaceihabitans donghaensis]	group5
WP_088264244 [Chryseobacterium haifense DSM 19056]	group6
RTL58520 [Sphingobacteriales bacterium]	group6
WP_111126247 [Mesonia sp. K7]	group1
WP_091586824 [Alteribacillus bidgolensis]	group2
WP_070111766 [Glaciecola punicea]	group3
WP_051079898 [Thioalkalivibrio thiocyanodenitrificans]	group1
SMB26582 [Sterolibacterium denitrificans]	group6
WP_012934133 [Conexibacter woesei DSM 14684]	group4
OAV33751 [Moraxella catarrhalis]	group1
PYO36813 [Gemmatimonadetes bacterium]	group4
WP_094099748 [Lonsdalea iberica]	group1
WP_047144762 [Aquamicrobium sp. LC103]	group3
WP_087146509 [Crenothrix polyspora]	group1
WP_018781685 [Bacillus pseudomycoides]	group4
WP_068856062 [Xanthomonas translucens]	group4
PDH45155 [Flavobacteriales bacterium MED-G22]	group6
RFC32747 [Candidatus Nitrotoga sp. MKT]	group2
ATW28570 [Peptococcaceae bacterium DCMF]	group4
WP_116859880 [Sphingomonas sp. URHD0007]	group6
RPI00446 [Calditrichaeota bacterium]	group3
WP_011629174 [Alkalilimnicola ehrlichii MLHE-1]	group7
WP_024460787 [Marinimicrobium sp. LS-A18]	group1
WP_119334431 [Hydrogenophilus thermoluteolus]	group4
WP_142852689 [Aliiroseovarius halocynthiae]	group6
WP_105743307 [Phyllobacterium sp. 1N-3]	group4
WP_082132219 [Luteimonas sp. FCS-9]	group6
PDH18288 [Pelagibacterales bacterium MED-G44]	group4
WP_091932351 [Propionivibrio dicarboxylicus]	group5
WP_132007451 [Bacillus foraminis]	group6
WP_013163387 [Desulfurivibrio alkaliphilus AHT 2]	group1
RZL57351 [Variovorax sp.]	group5
WP_062179433 [Dysgonomonas macrotermitis]	group3
WP_132954832 [Uruburuella suis]	group2
WP_109706220 [Falsochrobactrum sp. HN4]	group6
WP_113288376 [Rhodosalinus sp. E84]	group2
WP_013639435 [Acidiphilium multivorum AIU301]	group7
XP_024923011 [Ziziphus jujuba]	group2
WP_050027937 [Verrucomicrobium sp. BvORR034]	group4
WP_142904262 [Cellvibrionaceae bacterium R142]	group7
OIN91240 [Comamonadaceae bacterium CG12_big_fil_rev_8_21_14_0_65_59_15]	group5
TNE98261 [Bacteroidetes bacterium]	group4
WP_130642696 [Marinilabiliaceae bacterium JC017]	group7
KXS31778 [Candidatus Gallionella acididurans]	group2
WP_011581049 [Chelativorans sp. BNC1]	group4
WP_122253937 [Comamonadaceae bacterium NML161473]	group1
WP_104404938 [Prevotella sp. MGM2]	group3
RUM55997 [Marinomonas sp.]	group7
WP_024594468 [Pseudoalteromonas sp. TB13]	group6
RZJ45553 [Brevundimonas sp.]	group6
WP_138921829 [endosymbiont of Tevnia jerichonana]	group2
WP_057192919 [Bosea sp. Root483D1]	group6
PLX14219 [Marinilabiliales bacterium]	group3
WP_105052537 [Psychrosphaera saromensis]	group1
WP_136461585 [Shimia sp. MYP11]	group3
WP_101814296 [Yersiniaceae bacterium 2015Iso6]	group2
KXB98381 [Chlorobi bacterium NICIL-2]	group2
WP_111636957 [Marinomonas sp. DSL-35]	group7
WP_067961821 [Aminobacter aminovorans]	group4
WP_104520143 [Rhodopila globiformis]	group7
OHE84947 [Xanthomonadales bacterium RIFOXYD1_FULL_69_11]	group3
RLD10666 [candidate division KSB1 bacterium]	group1
OGT57460 [Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_43_28]	group7
WP_049705383 [Devosia sp. H5989]	group1
OIP67703 [Candidatus Atribacteria bacterium CG2_30_33_13]	group2
WP_133005894 [Marinobacter sp. JH2]	group7
WP_047264677 [Candidatus Liberibacter africanus PTSAPSY]	group4
WP_024297960 [Methylosarcina lacus]	group4
WP_127078835 [Rhodomicrobium sp. JA980]	group4
PIV15256 [Gallionellales bacterium CG03_land_8_20_14_0_80_55_15]	group1
WP_086495683 [Sphingomonas sp. KC8]	group6
TES92398 [Candidatus Cloacimonetes bacterium]	group6
SUB35020 [Pasteurella multocida]	group2
KRO61055 [Pelagibacteraceae bacterium BACL5 MAG-120813-bin20]	group1
PYT97210 [Acidobacteria bacterium]	group1
OGF13163 [Candidatus Eisenbacteria bacterium RBG_19FT_COMBO_70_11]	group2
PLX87476 [Desulfuromonas sp.]	group7
WP_023472188 [Betaproteobacteria bacterium MOLA814]	group5
OGP50386 [Deltaproteobacteria bacterium RBG_13_43_22]	group1
WP_090553167 [Natronincola ferrireducens]	group2
WP_129224554 [bacterium RmlP026]	group4
WP_051968630 [Alysiella crassa]	group3
WP_090698658 [Beijerinckia sp. 28-YEA-48]	group3
WP_009149763 [Thiorhodovibrio sp. 970]	group7
WP_012030829 [Dichelobacter nodosus VCS1703A]	group3
WP_097460478 [Mangrovitalea sediminis]	group5
WP_049724644 [Wenzhouxiangella marina]	group2
WP_085632834 [Marivita cryptomonadis]	group2
OGQ26560 [Deltaproteobacteria bacterium RBG_16_71_12]	group6
WP_028486859 [Thiomicrorhabdus chilensis]	group2
WP_114228487 ['Sphingomonas ginsengisoli' Hoang et al. 2012]	group6
RPG25777 [Gammaproteobacteria bacterium TMED92]	group7
OGR82068 [Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_64_13]	group2
RYF19282 [Comamonadaceae bacterium]	group7
WP_116499752 [Betaproteobacteria bacterium]	group4
WP_125180468 [Thiohalobacter thiocyanaticus]	group2
PID63483 [Gammaproteobacteria bacterium]	group5
WP_127684028 [Inhella sp. CCP-18]	group3
OEU46192 [Desulfobacterales bacterium S7086C20]	group1
PYR48895 [Acidobacteria bacterium]	group7
ALP54567 [Candidatus Tenderia electrophaga]	group5
WP_068808900 [Thauera phenolivorans]	group2
WP_105168508 [Pseudoalteromonas sp. T1lg23B]	group5
RYY67877 [Chitinophagaceae bacterium]	group4
PIV15363 [Gallionellales bacterium CG03_land_8_20_14_0_80_55_15]	group1
WP_114327459 [Candidatus Colwellia aromaticivorans]	group4
WP_056713692 [Bosea sp. Leaf344]	group6
WP_091946012 [Phyllobacterium sp. YR620]	group5
OUV62177 [Candidatus Thioglobus sp.]	group3
WP_141623449 [Lysobacter sp. SJ-36]	group5
WP_115434386 [Crenobacter cavernae]	group6
WP_114712270 [Rhizobium grahamii]	group3
RVH98384 [Sinorhizobium meliloti]	group4
CSB57571 [Vibrio cholerae]	group3
RKX71426 [candidate division WOR-3 bacterium]	group3
WP_027716496 [Desulfuromonas sp. TF]	group5
THG36735 [Muribaculaceae bacterium]	group5
OFX61963 [Bacteroidetes bacterium RIFOXYC2_FULL_40_12]	group7
TDJ53164 [Nitrospina sp.]	group6
TRZ96168 [bacterium]	group4
WP_135089627 [Sphingomonas sp. 17J27-24]	group3
TSA02172 [Methylococcus sp.]	group5
WP_114390496 [Notoacmeibacter marinus]	group6
RYG06059 [Burkholderiales bacterium]	group3
WP_085284443 [Colwellia chukchiensis]	group1
ODT36606 [Lautropia sp. SCN 70-15]	group4
WP_036519394 [Nitrincola sp. A-D6]	group4
WP_082195208 [Bacillus andreraoultii]	group4
WP_116208159 [Paraperlucidibaca baekdonensis]	group5
WP_013944197 [Simkania negevensis Z]	group4
WP_102072199 [Pusillimonas sp. JR1/69-3-13]	group4
WP_100695912 [Advenella sp. S44]	group1
RKX45134 [Verrucomicrobia bacterium]	group5
OIP92687 [Syntrophobacterales bacterium CG_4_8_14_3_um_filter_49_14]	group4
WP_126757059 [Aliidiomarina taiwanensis]	group5
WP_015500831 [Octadecabacter antarcticus 307]	group3
WP_129948693 [Shewanella sp. OPT22]	group7
WP_085896677 [Limimaricola soesokkakensis]	group2
WP_129466070 [Providencia rettgeri]	group6
WP_125932053 [Chromatiaceae bacterium 2141T.STBD.0c.01a]	group2
WP_028293178 [Oceanobacter kriegii]	group1
WP_049622618 [Dyella-like sp. DHo]	group2
WP_106891714 [Ahniella affigens]	group4
TQV64983 [Halothiobacillaceae bacterium]	group4
WP_121993421 [Rhizobiales bacterium]	group2
WP_083868085 [Halomonas smyrnensis]	group1
OWU66331 [Armatimonadetes bacterium Cent15-Ar3]	group4
WP_062060715 [Sphingobium baderi]	group5
KRO71284 [Cryomorphaceae bacterium BACL18 MAG-120924-bin36]	group3
KOR30368 [Achromatium sp. WMS2]	group7
KZZ41738 [Thalassolituus sp. HI0120]	group5
WP_141350289 [Zoogloea ramigera]	group2
OIO54090 [Alphaproteobacteria bacterium CG_4_10_14_0_2_um_filter_63_37]	group7
RPG32157 [Gammaproteobacteria bacterium TMED92]	group3
OUU46220 [Verrucomicrobia bacterium TMED56]	group6
OFY87463 [Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_35_15]	group1
PIW55201 [Sphingomonadales bacterium CG12_big_fil_rev_8_21_14_0_65_65_10]	group4
TAM46567 [Gammaproteobacteria bacterium]	group2
RUQ40095 [Candidatus Competibacteraceae bacterium]	group1
WP_113854871 [Sutterella wadsworthensis]	group5
PKN51668 [Deltaproteobacteria bacterium HGW-Deltaproteobacteria-13]	group7
WP_012383937 [Beijerinckia indica subsp. indica ATCC 9039]	group5
WP_004346555 [Prevotella buccae ATCC 33574]	group5
PLX11907 [Marinilabiliales bacterium]	group3
TPG39588 [Sphingomonas koreensis]	group1
WP_045534825 [Serpentinomonas mccroryi]	group6
BAL77175 [Bradyrhizobium sp. S23321]	group3
WP_136870954 [Desulforhopalus sp. IMCC35007]	group7
WP_108127193 [Saccharospirillum mangrovi]	group4
WP_022595219 [Vibrio nigripulchritudo SO65]	group6
PYT54552 [Acidobacteria bacterium]	group1
PWM61824 [Clostridia bacterium]	group1
WP_044241155 [Chondromyces apiculatus DSM 436]	group4
PDH32934 [OM182 bacterium MED-G28]	group2
OGN63318 [Chlamydiae bacterium RIFCSPHIGHO2_12_FULL_49_9]	group2
RKY76217 [candidate division KSB1 bacterium]	group7
WP_076591705 [Herminiimonas arsenitoxidans]	group3
ADW17267 [Desulfobulbus propionicus DSM 2032]	group6
GBD01036 [bacterium HR18]	group2
OGW75001 [Omnitrophica bacterium RBG_13_46_9]	group5
TMM31801 [Actinobacteria bacterium]	group3
WP_101068049 [Roseovarius salinarum]	group6
RPH06339 [bacterium TMED46]	group6
WP_019369339 [Sphingomonas sp. WG]	group5
WP_101240911 [Enterobacterales bacterium CwR94]	group4
WP_129169852 [Candidatus Marinimicrobia bacterium]	group2
RZL30741 [Pedobacter sp.]	group7
WP_126979522 [Defluviimonas sp. XJ4]	group2
ONK68199 [Asparagus officinalis]	group7
OIQ20236 [Lacinutrix sp. MedPE-SW]	group4
WP_058088777 [Aquabacterium parvum]	group1
OHB76469 [Planctomycetes bacterium RBG_16_55_9]	group6
OQW90678 [Beggiatoa sp. IS2]	group2
OGP13292 [Deltaproteobacteria bacterium GWA2_50_8]	group7
PYI87320 [Verrucomicrobia bacterium]	group6
WP_132257478 [Paucimonas lemoignei]	group4
WP_124081703 [Pigmentiphaga sp. IMT-318]	group2
PYX12526 [Acidobacteria bacterium]	group2
PCH72317 [Rhizobiales bacterium]	group3
RPH00556 [Candidatus Pelagibacter sp. TMED153]	group3
WP_099822955 [Tatumella sp. OPLPL6]	group4
OGU20780 [Gemmatimonadetes bacterium RIFCSPLOWO2_12_FULL_68_9]	group1
WP_124865842 [Comamonadaceae bacterium OH2545_COT-014]	group7
WP_014450318 [Leptospirillum ferrooxidans C2-3]	group2
WP_138564558 [Thiomicrorhabdus sp. G1]	group2
TMH26456 [Betaproteobacteria bacterium]	group2
OUR71965 [Methylophaga sp. 41_12_T18]	group3
WP_121085512 [Robbsia sp. DHC34]	group3
WP_086105581 [Chitinophagaceae bacterium IBVUCB2]	group1
OUU11648 [Verrucomicrobia bacterium TMED40]	group3
WP_045825384 [Teredinibacter turnerae]	group2
OUU96135 [Planctomycetes bacterium TMED75]	group5
WP_024334502 [Desulfotignum balticum]	group3
RZO59009 [Verrucomicrobia subdivision 3 bacterium]	group1
WP_123712055 [Sinobacterium caligoides]	group6
WP_115073164 [Haemophilus haemoglobinophilus]	group7
RMG52181 [Gammaproteobacteria bacterium]	group3
WP_005865280 [Bartonella alsatica IBS 382]	group5
RMG95853 [Candidatus Dadabacteria bacterium]	group6
WP_013214874 [Hyphomicrobium denitrificans ATCC 51888]	group6
WP_014402169 [Frateuria aurantia DSM 6220]	group4
RPI50851 [Deltaproteobacteria bacterium]	group7
WP_058701391 [Pantoea stewartii]	group5
TAJ25514 [Nitrospirae bacterium]	group6
WP_075792956 [Massilia putida]	group7
RZO69122 [Parvularculaceae bacterium]	group1
TND06849 [Gammaproteobacteria bacterium]	group2
WP_106183049 [Candidatus Pandoraea novymonadis]	group5
WP_017221690 [Moritella dasanensis]	group4
OGS99614 [Gallionellales bacterium RIFCSPLOWO2_12_FULL_59_22]	group5
OUW21305 [bacterium TMED161]	group3
WP_115466486 [Marinomonas sp. YLB-05]	group4
SIO26652 [Rhodovulum sp. ES.010]	group6
KRP04589 [Pelagibacteraceae bacterium BACL20 MAG-120920-bin64]	group2
PTQ68608 [Celeribacter persicus]	group4
PLW96932 [Marinilabiliales bacterium]	group1
WP_127121725 [Cytophagaceae bacterium Ys]	group7
RYD17817 [Verrucomicrobiaceae bacterium]	group3
WP_129762942 [Salipiger sp. IMCC34102]	group4
WP_139514879 [Hymenobacter sp. 17J68-5]	group2
WP_114417905 [Marinospirillum sp. F3212]	group3
WP_091239288 [Aquimonas voraii]	group6
WP_091682119 [Methylocapsa palsarum]	group7
PIU29285 [Actinobacteria bacterium CG08_land_8_20_14_0_20_35_9]	group2
WP_105732641 [Phyllobacterium myrsinacearum]	group4
WP_107975861 [Roseivivax pacificus]	group2
WP_132872056 [Seleniivibrio woodruffii]	group5
WP_036867526 [Prevotella bivia DNF00320]	group6
PPR35728 [Alphaproteobacteria bacterium MarineAlpha9_Bin5]	group6
WP_025822153 [Asaia astilbis]	group2
PPD56309 [Methylotenera sp.]	group6
WP_066181350 [Hoeflea olei]	group6
WP_018025751 [Oligella urethralis]	group5
WP_116546453 [Plesiomonas shigelloides]	group5
PIK16523 [Halobacteriovorax sp. JY17]	group1
WP_085847824 [Pacificibacter marinus]	group3
WP_129727710 [Bacillus funiculus]	group5
WP_107337713 [Pandoraea apista]	group1
WP_114210885 [Acidobacteriaceae bacterium SBC82]	group3
OIN98972 [Desulfovibrionaceae bacterium CG1_02_65_16]	group1
WP_096175543 [Cohaesibacter sp. ES.047]	group5
RPI75699 [Desulfobacteraceae bacterium]	group3
WP_114888955 [Sulfitobacter sp. SK012]	group7
RJR27422 [Candidatus Latescibacteria bacterium]	group5
RZK49561 [Pedobacter sp.]	group5
WP_036302549 [Methylotenera sp. L2L1]	group5
VFS61432 [Leminorella grimontii]	group7
WP_015260143 [Thioalkalivibrio nitratireducens DSM 14787]	group1
PIP01767 [Zetaproteobacteria bacterium CG_4_9_14_3_um_filter_54_145]	group2
SFJ46277 [Nereida ignava DSM 16309]	group1
WP_124735017 [Rhodobacteraceae bacterium CH30]	group2
WP_134841617 [Gammaproteobacteria bacterium LSUCC0112]	group1
WP_119263579 [Rhodospirillaceae bacterium SYSU D60007]	group1
PSQ94561 [Proteobacteria bacterium SW_6_67_9]	group3
PIP91317 [Bdellovibrionales bacterium CG11_big_fil_rev_8_21_14_0_20_38_13]	group5
WP_010516438 [Croceivirga radicis]	group7
RLA22859 [Gammaproteobacteria bacterium]	group1
PIX12450 [Flavobacteriaceae bacterium CG_4_8_14_3_um_filter_31_8]	group6
PCI90822 [Oceanospirillales bacterium]	group2
TAH17528 [Cytophagales bacterium]	group7
WP_108001247 [Mycoplana dimorpha]	group2
WP_085757071 [Oceanicoccus sagamiensis]	group7
KXK53213 [Chlorobi bacterium OLB7]	group3
WP_133003619 [Marinomonas sp. KMM3893]	group1
CRH76281 [Chlamydia trachomatis]	group4
WP_108669452 [Bacillus acanthi]	group1
RMF58763 [Calditrichaeota bacterium]	group4
WP_058443058 [Legionella brunensis]	group5
PPR74934 [Alphaproteobacteria bacterium MarineAlpha3_Bin4]	group5
WP_113910502 [Roseovarius sp. YLY04]	group3
RMI25504 [Calditrichaeota bacterium]	group3
RCL68671 [Bacteroidetes bacterium]	group4
RPE93682 [Frederiksenia canicola]	group1
WP_096383340 [Lysobacter enzymogenes]	group1
PHS01706 [Oceanobacter sp.]	group5
PDH46047 [Bacteroidetes bacterium MED-G21]	group6
OQX68717 [Sorangiineae bacterium NIC37A_2]	group2
RPI73564 [Ignavibacteriales bacterium]	group5
WP_106753308 [Pannonibacter carbonis]	group5
SEA31946 [Alkalimonas amylolytica]	group5
KJS17527 [Peptococcaceae bacterium BRH_c4b]	group2
TVO67950 [Denitromonas halophilus]	group4
WP_123663401 [Candidatus Cardinium hertigii]	group5
RLA98397 [Deltaproteobacteria bacterium]	group1
WP_088343635 [Rhodomicrobium]	group5
WP_045857263 [Cellvibrionaceae bacterium Bs12]	group6
RYE14461 [Rickettsiales bacterium]	group1
WP_108923555 [Actinobacillus porcitonsillarum]	group1
WP_120323157 [Altererythrobacter sp. HN-Y73]	group5
QDO96721 [Ferrovibrio sp. K5]	group5
RZO28774 [SAR86 cluster bacterium]	group7
PZO89392 [Sphingomonas sanxanigenens]	group3
WP_007651009 [Shewanella sp. HN-41]	group1
WP_072666051 [Candidatus Erwinia haradaeae]	group1
TAK33113 [Myxococcaceae bacterium]	group4
WP_116301563 [Alkalilimnicola ehrlichii]	group6
WP_014106333 [Komagataeibacter medellinensis NBRC 3288]	group2
WP_012172150 [Azorhizobium caulinodans ORS 571]	group5
WP_008811954 [Burkholderiales bacterium]	group2
WP_009177868 [Silicibacter sp. TrichCH4B]	group6
AAP95187 [Haemophilus]	group7
WP_015360427 [Candidatus Uzinura diaspidicola str. ASNER]	group4
TSE35374 [Tepidimonas sp. SPSP-6]	group1
WP_003795548 [Kingella oralis ATCC 51147]	group1
WP_006283143 [Prevotella bryantii]	group1
WP_115173978 [Vibrio cincinnatiensis]	group3
OUU17033 [Crocinitomicaceae bacterium TMED45]	group7
WP_109338488 [Salinimonas sp. HMF8227]	group4
VFP79586 [Candidatus Erwinia haradaeae]	group4
WP_077618945 [Bacillus sinesaloumensis]	group6
WP_066568800 [Snodgrassella sp. CFCC 13594]	group6
WP_114984687 [Candidatus Cyclonatronum proteinivorum]	group1
WP_116435691 [Herbaspirillum sp. 3C11]	group3
WP_012179007 [Dinoroseobacter shibae DFL 12 = DSM 16493]	group6
WP_052339071 [Anaerobiospirillum succiniciproducens]	group5
RKY15609 [Planctomycetes bacterium]	group5
PYX40766 [Acidobacteria bacterium]	group3
PZN75935 [Proteobacteria bacterium]	group7
WP_027240570 [Pseudophaeobacter arcticus]	group7
OZB74984 [Halothiobacillus sp. 14-55-98]	group6
WP_005368838 [Methylomicrobium album BG8]	group4
WP_005000490 [Nitrococcus mobilis Nb-231]	group6
WP_013567452 [Terriglobus saanensis SP1PR4]	group3
PAZ02445 [Spartobacteria bacterium AMD-G5]	group6
WP_028257121 [Veillonella montpellierensis]	group7
